"Innvandrere, etter region, kjønn, landbakgrunn, tid  og  statistikkvariabel"

" ";" ";"Nord-Amerika";3;3;3;3;3;3;3;3;3;0;0;3;0;0;0;0;0;3;3;3;0;3;0;0;0;3;4;4;4;4;4;4;4
" ";" ";"Sør- og Mellom-Amerika";0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;3;0;0
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rømskog"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";8;13;14;13;13;13;12;12;9;9;9;10;10;14;15;14;13;12;11;10;11;12;11;11;11;14;19;20;19;19;23;25;27
" ";" ";"Afrika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Asia med Tyrkia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Nord-Amerika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Sør- og Mellom-Amerika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trøgstad"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";23;28;26;27;28;33;32;32;30;30;31;35;36;37;38;41;42;51;49;47;46;55;65;61;72;72;93;110;118;124;145;153;157
" ";" ";"Afrika";0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;3;3;3;3;5;5;3;4;4;4;5;5;12;10;10;10;11;10
" ";" ";"Asia med Tyrkia";0;0;3;0;3;11;12;11;8;8;8;11;11;10;12;11;13;19;23;22;30;28;33;30;35;32;34;33;42;46;50;53;46
" ";" ";"Nord-Amerika";0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;3;0;3;3;3;0;0;0;0;3;0;0;0;3;3;3
" ";" ";"Sør- og Mellom-Amerika";0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;3;3;3;3;3;0;3;3;3;4;3
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;3;3;0;3;0;0;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Spydeberg"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";17;34;37;38;37;37;32;32;33;33;35;41;37;34;35;37;38;39;48;56;51;53;55;59;68;67;86;93;103;113;124;132;146
" ";" ";"Afrika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;6;14;15;17;27;34;34
" ";" ";"Asia med Tyrkia";0;0;0;0;0;3;4;7;8;14;12;11;14;15;16;18;21;25;23;22;33;35;46;52;57;56;59;69;75;90;102;107;103
" ";" ";"Nord-Amerika";4;3;3;3;3;4;3;4;3;3;3;3;3;6;4;3;3;3;3;8;8;5;4;4;4;3;3;3;3;3;3;3;3
" ";" ";"Sør- og Mellom-Amerika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;5;4;3;4;6;6;8;7;6;6;7;7;7;6
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
