Nettoforbruk av elektrisk kraft (GWh), etter region, forbrukargruppe, tid  og ;;;;;
 statistikkvariabel;;;;;
;;;;;
 ; ;2011;2012;2013;2014
 ; ;Forbruk i alt;Forbruk i alt;Forbruk i alt;Forbruk i alt
 ;Primærnæringer;5.4;6.4;5.9;5.2
 ;Hushald;310.2;326.4;340.2;320.1
 ;Hytter og fritidshus;9.6;9.9;11.0;9.9
Larvik;;;;;
 ;ALLE FORBRUKARGRUPPER;656.5;676.4;716.1;693.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;118.7;109.0;131.2;128.2
 ;TENESTEYTING MV.;204.3;216.3;223.5;223.8
 ;HUSHALD OG JORDBRUK;333.5;351.1;361.5;341.3
 ;Primærnæringer;19.4;21.1;17.5;18.2
 ;Hushald;297.7;313.1;324.9;305.9
 ;Hytter og fritidshus;16.5;17.0;19.0;17.2
Svelvik;;;;;
 ;ALLE FORBRUKARGRUPPER;82.8;85.6;87.3;81.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;20.6;19.8;19.8;18.1
 ;TENESTEYTING MV.;12.8;13.8;13.2;12.5
 ;HUSHALD OG JORDBRUK;49.3;52.0;54.2;51.0
 ;Primærnæringer;0.4;0.5;0.5;0.4
 ;Hushald;47.3;49.7;51.8;48.7
 ;Hytter og fritidshus;1.6;1.8;1.9;1.9
Sande (Vestf.);;;;;
 ;ALLE FORBRUKARGRUPPER;98.6;103.1;110.7;105.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.7;4.3;4.5;4.2
 ;TENESTEYTING MV.;25.2;27.4;28.0;27.3
 ;HUSHALD OG JORDBRUK;69.8;71.5;78.2;73.7
 ;Primærnæringer;7.0;5.1;7.9;7.4
 ;Hushald;59.4;62.8;66.1;62.5
 ;Hytter og fritidshus;3.4;3.6;4.1;3.7
Hof;;;;;
 ;ALLE FORBRUKARGRUPPER;47.5;50.0;51.4;49.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;15.5;16.1;15.7;15.8
 ;TENESTEYTING MV.;8.3;9.0;9.0;8.1
 ;HUSHALD OG JORDBRUK;23.6;24.9;26.6;25.2
 ;Primærnæringer;1.7;1.7;1.6;1.5
 ;Hushald;20.9;22.1;23.9;22.6
 ;Hytter og fritidshus;1.0;1.0;1.2;1.1
Re;;;;;
 ;ALLE FORBRUKARGRUPPER;115.9;123.1;129.1;124.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;19.4;18.9;19.4;18.0
 ;TENESTEYTING MV.;26.5;30.0;31.4;29.0
 ;HUSHALD OG JORDBRUK;70.0;74.2;78.3;77.0
 ;Primærnæringer;13.7;14.1;14.4;15.8
 ;Hushald;55.8;59.6;63.2;60.6
 ;Hytter og fritidshus;0.5;0.6;0.6;0.6
Andebu;;;;;
 ;ALLE FORBRUKARGRUPPER;61.5;63.7;66.7;62.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.7;6.0;6.3;5.6
 ;TENESTEYTING MV.;14.3;15.6;15.7;14.7
 ;HUSHALD OG JORDBRUK;39.5;42.1;44.6;42.3
 ;Primærnæringer;4.4;4.6;4.7;4.2
 ;Hushald;34.3;36.7;39.1;37.3
 ;Hytter og fritidshus;0.8;0.8;0.9;0.8
Stokke;;;;;
 ;ALLE FORBRUKARGRUPPER;200.1;215.1;219.8;210.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;37.5;40.1;40.5;39.1
 ;TENESTEYTING MV.;63.8;66.8;64.6;62.2
 ;HUSHALD OG JORDBRUK;98.8;108.1;114.8;109.4
 ;Primærnæringer;26.9;31.7;33.2;32.0
 ;Hushald;69.9;74.5;79.4;75.5
 ;Hytter og fritidshus;2.0;1.9;2.2;1.9
Nøtterøy;;;;;
 ;ALLE FORBRUKARGRUPPER;224.8;232.3;241.8;227.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;14.7;13.9;15.1;13.4
 ;TENESTEYTING MV.;51.9;52.7;52.1;50.0
 ;HUSHALD OG JORDBRUK;158.2;165.8;174.6;164.4
 ;Primærnæringer;1.9;2.0;2.0;1.8
 ;Hushald;150.2;157.7;165.7;156.1
 ;Hytter og fritidshus;6.2;6.1;6.9;6.5
Tjøme;;;;;
 ;ALLE FORBRUKARGRUPPER;71.4;74.3;77.9;72.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.8;0.6;0.7;0.6
 ;TENESTEYTING MV.;20.0;20.8;20.9;19.1
 ;HUSHALD OG JORDBRUK;50.7;52.9;56.3;52.3
 ;Primærnæringer;0.4;0.3;0.3;0.3
 ;Hushald;37.9;39.5;41.3;38.8
 ;Hytter og fritidshus;12.4;13.1;14.7;13.3
Lardal;;;;;
 ;ALLE FORBRUKARGRUPPER;35.0;37.1;38.7;37.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.2;4.8;4.9;5.3
 ;TENESTEYTING MV.;9.7;10.2;10.3;10.4
 ;HUSHALD OG JORDBRUK;21.2;22.2;23.5;21.9
 ;Primærnæringer;4.7;4.4;4.0;3.8
 ;Hushald;14.7;15.8;17.1;15.9
 ;Hytter og fritidshus;1.7;2.0;2.4;2.1
Porsgrunn;;;;;
 ;ALLE FORBRUKARGRUPPER;2169.0;2144.2;2202.8;2213.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1701.0;1664.1;1704.3;1735.9
 ;TENESTEYTING MV.;203.9;204.9;211.7;210.0
 ;HUSHALD OG JORDBRUK;264.1;275.3;286.8;268.1
 ;Primærnæringer;1.6;1.5;1.8;1.8
 ;Hushald;259.3;270.4;280.9;262.5
 ;Hytter og fritidshus;3.2;3.5;4.1;3.8
Skien;;;;;
 ;ALLE FORBRUKARGRUPPER;708.5;719.7;734.7;689.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;45.2;33.4;33.6;32.5
 ;TENESTEYTING MV.;284.7;291.4;287.5;270.5
 ;HUSHALD OG JORDBRUK;378.6;394.9;413.6;386.3
 ;Primærnæringer;4.2;4.3;4.1;3.9
 ;Hushald;373.4;389.3;408.1;380.9
 ;Hytter og fritidshus;1.1;1.3;1.4;1.5
Notodden;;;;;
 ;ALLE FORBRUKARGRUPPER;200.0;197.4;199.1;179.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;33.2;34.6;24.8;24.8
 ;TENESTEYTING MV.;67.9;63.0;64.0;57.7
 ;HUSHALD OG JORDBRUK;99.0;99.8;110.3;97.2
 ;Primærnæringer;0.4;0.5;0.5;0.6
 ;Hushald;95.8;96.6;106.6;93.7
 ;Hytter og fritidshus;2.8;2.8;3.2;2.8
Siljan;;;;;
 ;ALLE FORBRUKARGRUPPER;24.0;24.9;25.4;23.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.4;1.2;1.3;1.1
 ;TENESTEYTING MV.;4.9;4.8;4.6;4.2
 ;HUSHALD OG JORDBRUK;17.7;18.8;19.6;18.3
 ;Primærnæringer;0.9;1.0;0.8;0.7
 ;Hushald;16.2;17.3;18.0;16.9
 ;Hytter og fritidshus;0.6;0.6;0.7;0.6
Bamble;;;;;
 ;ALLE FORBRUKARGRUPPER;1356.0;1321.9;1445.4;1382.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1191.6;1149.8;1263.8;1209.1
 ;TENESTEYTING MV.;53.8;55.9;59.7;59.0
 ;HUSHALD OG JORDBRUK;110.6;116.2;121.9;114.5
 ;Primærnæringer;0.6;0.6;0.7;0.6
 ;Hushald;102.7;107.8;112.5;105.4
 ;Hytter og fritidshus;7.3;7.8;8.8;8.4
Kragerø;;;;;
 ;ALLE FORBRUKARGRUPPER;214.2;214.2;182.9;186.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;78.7;75.6;37.0;49.3
 ;TENESTEYTING MV.;39.0;41.4;45.1;42.6
 ;HUSHALD OG JORDBRUK;96.5;97.2;100.9;94.2
 ;Primærnæringer;0.7;0.7;1.2;1.3
 ;Hushald;78.4;79.9;82.0;76.0
 ;Hytter og fritidshus;17.4;16.7;17.7;16.9
Drangedal;;;;;
 ;ALLE FORBRUKARGRUPPER;50.0;51.4;52.9;48.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.0;0.5;1.1;0.8
 ;TENESTEYTING MV.;15.0;15.8;15.1;13.3
 ;HUSHALD OG JORDBRUK;34.0;35.2;36.8;34.8
 ;Primærnæringer;2.3;2.1;2.3;2.0
 ;Hushald;25.9;26.9;27.7;26.1
 ;Hytter og fritidshus;5.8;6.1;6.8;6.7
Nome;;;;;
 ;ALLE FORBRUKARGRUPPER;126.6;129.6;132.8;129.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;54.0;55.7;54.7;57.3
 ;TENESTEYTING MV.;19.3;19.5;20.3;19.1
 ;HUSHALD OG JORDBRUK;53.3;54.5;57.9;52.6
 ;Primærnæringer;3.9;1.8;1.8;1.7
 ;Hushald;48.4;51.7;55.0;49.9
 ;Hytter og fritidshus;1.0;1.0;1.1;1.0
Bø (Telem.);;;;;
 ;ALLE FORBRUKARGRUPPER;91.2;93.0;96.7;91.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.3;6.9;7.1;7.1
 ;TENESTEYTING MV.;35.2;35.4;36.5;34.4
 ;HUSHALD OG JORDBRUK;48.7;50.7;53.2;49.8
 ;Primærnæringer;6.2;3.2;3.0;2.9
 ;Hushald;38.9;43.7;46.0;42.9
 ;Hytter og fritidshus;3.7;3.7;4.1;3.9
Sauherad;;;;;
 ;ALLE FORBRUKARGRUPPER;77.3;77.4;79.7;75.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.3;0.9;0.9;0.9
 ;TENESTEYTING MV.;37.1;35.7;35.9;34.7
 ;HUSHALD OG JORDBRUK;38.9;40.8;43.0;39.4
 ;Primærnæringer;9.3;8.4;8.6;7.7
 ;Hushald;28.8;31.4;33.4;30.9
 ;Hytter og fritidshus;0.8;0.9;0.9;0.8
Tinn;;;;;
 ;ALLE FORBRUKARGRUPPER;313.8;266.2;260.0;236.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;187.9;131.8;121.7;109.4
 ;TENESTEYTING MV.;48.1;54.7;53.8;50.3
 ;HUSHALD OG JORDBRUK;77.9;79.7;84.4;76.8
 ;Primærnæringer;0.5;0.5;0.5;0.5
 ;Hushald;56.7;57.5;60.1;53.4
 ;Hytter og fritidshus;20.6;21.7;23.8;22.9
Hjartdal;;;;;
 ;ALLE FORBRUKARGRUPPER;26.1;27.8;29.3;27.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.4;0.5;0.6;0.6
 ;TENESTEYTING MV.;6.4;7.0;7.3;6.9
 ;HUSHALD OG JORDBRUK;19.3;20.4;21.5;20.3
 ;Primærnæringer;2.7;2.8;2.7;2.4
 ;Hushald;9.1;9.6;10.2;9.6
 ;Hytter og fritidshus;7.6;8.0;8.5;8.3
Seljord;;;;;
 ;ALLE FORBRUKARGRUPPER;52.0;52.2;55.0;52.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.5;2.4;2.5;4.1
 ;TENESTEYTING MV.;22.4;21.9;23.0;20.0
 ;HUSHALD OG JORDBRUK;27.2;28.0;29.4;28.1
 ;Primærnæringer;0.1;0.2;0.2;0.4
 ;Hushald;23.2;24.0;25.1;23.7
 ;Hytter og fritidshus;3.9;3.9;4.2;4.0
Kviteseid;;;;;
 ;ALLE FORBRUKARGRUPPER;44.2;45.1;47.4;44.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.7;1.0;0.7;2.5
 ;TENESTEYTING MV.;17.2;17.2;17.6;14.4
 ;HUSHALD OG JORDBRUK;26.3;27.0;29.1;27.4
 ;Primærnæringer;0.1;0.2;0.2;0.4
 ;Hushald;19.3;19.7;21.1;19.6
 ;Hytter og fritidshus;6.9;7.1;7.9;7.4
Nissedal;;;;;
 ;ALLE FORBRUKARGRUPPER;29.4;29.8;32.5;30.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.8;1.7;1.7;2.4
 ;TENESTEYTING MV.;7.9;8.0;8.8;7.1
 ;HUSHALD OG JORDBRUK;19.7;20.1;22.1;21.0
 ;Primærnæringer;0.0;0.0;0.0;0.3
 ;Hushald;9.6;9.9;10.6;9.6
 ;Hytter og fritidshus;10.1;10.2;11.5;11.1
Fyresdal;;;;;
 ;ALLE FORBRUKARGRUPPER;24.4;24.7;26.0;23.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.3;4.2;3.9;5.4
 ;TENESTEYTING MV.;8.3;8.5;9.1;5.8
 ;HUSHALD OG JORDBRUK;11.9;12.0;13.0;11.9
 ;Primærnæringer;0.0;0.0;0.0;0.1
 ;Hushald;9.6;9.7;10.3;9.2
 ;Hytter og fritidshus;2.3;2.2;2.7;2.6
Tokke;;;;;
 ;ALLE FORBRUKARGRUPPER;43.6;44.1;46.4;41.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;6.6;6.5;6.8;6.5
 ;TENESTEYTING MV.;13.2;13.6;13.9;12.5
 ;HUSHALD OG JORDBRUK;23.8;24.1;25.8;22.7
 ;Primærnæringer;0.1;0.1;0.1;0.4
 ;Hushald;19.3;19.5;20.8;18.0
 ;Hytter og fritidshus;4.4;4.5;4.8;4.3
Vinje;;;;;
 ;ALLE FORBRUKARGRUPPER;111.9;117.2;121.4;115.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;5.1;5.2;4.7;5.5
 ;TENESTEYTING MV.;33.0;37.2;38.6;35.1
 ;HUSHALD OG JORDBRUK;73.8;74.8;78.2;75.3
 ;Primærnæringer;0.5;0.8;1.2;1.6
 ;Hushald;35.2;35.1;35.7;33.0
 ;Hytter og fritidshus;38.1;39.0;41.3;40.7
Risør;;;;;
 ;ALLE FORBRUKARGRUPPER;92.9;95.4;99.4;93.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;10.3;11.0;11.6;11.3
 ;TENESTEYTING MV.;25.7;27.1;26.2;26.0
 ;HUSHALD OG JORDBRUK;57.0;57.4;61.6;56.2
 ;Primærnæringer;1.9;1.0;0.6;0.5
 ;Hushald;48.2;49.9;51.9;49.1
 ;Hytter og fritidshus;6.8;6.4;9.1;6.7
Grimstad;;;;;
 ;ALLE FORBRUKARGRUPPER;264.5;272.8;282.3;266.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;20.6;20.7;21.8;18.6
 ;TENESTEYTING MV.;87.5;90.2;89.9;87.2
 ;HUSHALD OG JORDBRUK;156.5;161.9;170.5;160.4
 ;Primærnæringer;9.6;8.7;8.1;8.5
 ;Hushald;140.3;147.1;153.8;145.3
 ;Hytter og fritidshus;6.6;6.1;8.7;6.6
Arendal;;;;;
 ;ALLE FORBRUKARGRUPPER;615.9;631.3;666.2;627.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;110.2;106.4;126.7;120.2
 ;TENESTEYTING MV.;204.8;211.7;207.0;196.2
 ;HUSHALD OG JORDBRUK;300.9;313.2;332.5;311.4
 ;Primærnæringer;3.2;3.9;4.1;4.0
 ;Hushald;289.2;301.6;316.9;298.4
 ;Hytter og fritidshus;8.4;7.7;11.5;9.1
Gjerstad;;;;;
 ;ALLE FORBRUKARGRUPPER;31.4;32.0;33.8;32.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.2;4.5;4.6;4.2
 ;TENESTEYTING MV.;10.0;10.0;10.2;10.5
 ;HUSHALD OG JORDBRUK;17.1;17.5;19.0;17.7
 ;Primærnæringer;0.1;0.1;0.1;0.1
 ;Hushald;16.3;16.7;17.8;16.8
 ;Hytter og fritidshus;0.7;0.6;1.0;0.8
Vegårshei;;;;;
 ;ALLE FORBRUKARGRUPPER;19.8;20.2;21.7;20.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.0;1.1;0.9;1.0
 ;TENESTEYTING MV.;5.2;5.0;5.1;4.7
 ;HUSHALD OG JORDBRUK;13.6;14.0;15.6;14.4
 ;Primærnæringer;0.2;0.3;0.3;0.3
 ;Hushald;11.6;12.2;13.0;12.4
 ;Hytter og fritidshus;1.7;1.6;2.3;1.7
Tvedestrand;;;;;
 ;ALLE FORBRUKARGRUPPER;87.5;90.1;94.2;86.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.0;6.7;6.3;5.7
 ;TENESTEYTING MV.;25.6;27.7;26.7;25.3
 ;HUSHALD OG JORDBRUK;54.9;55.7;61.2;55.0
 ;Primærnæringer;0.5;0.5;0.6;0.6
 ;Hushald;45.6;47.0;48.3;45.2
 ;Hytter og fritidshus;8.9;8.2;12.4;9.3
Froland;;;;;
 ;ALLE FORBRUKARGRUPPER;52.2;54.7;59.2;55.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.2;1.1;1.3;1.4
 ;TENESTEYTING MV.;15.1;15.8;16.6;15.6
 ;HUSHALD OG JORDBRUK;35.9;37.8;41.3;38.4
 ;Primærnæringer;0.7;0.7;0.8;0.8
 ;Hushald;33.2;35.2;37.4;35.4
 ;Hytter og fritidshus;2.0;2.0;3.1;2.3
Lillesand;;;;;
 ;ALLE FORBRUKARGRUPPER;324.0;287.4;318.8;309.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;199.2;159.6;184.1;184.1
 ;TENESTEYTING MV.;49.3;49.4;50.2;47.8
 ;HUSHALD OG JORDBRUK;75.4;78.3;84.5;77.7
 ;Primærnæringer;0.3;0.3;0.2;0.2
 ;Hushald;67.2;70.3;73.0;69.2
 ;Hytter og fritidshus;8.0;7.8;11.3;8.3
Birkenes;;;;;
 ;ALLE FORBRUKARGRUPPER;89.7;91.2;97.3;95.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;48.5;48.2;52.7;53.8
 ;TENESTEYTING MV.;11.9;12.5;12.4;11.6
 ;HUSHALD OG JORDBRUK;29.2;30.4;32.2;30.4
 ;Primærnæringer;0.4;0.5;0.5;0.5
 ;Hushald;28.1;29.3;30.6;29.0
 ;Hytter og fritidshus;0.6;0.6;1.1;1.0
Åmli;;;;;
 ;ALLE FORBRUKARGRUPPER;49.7;50.8;52.5;49.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;10.2;10.3;22.8;22.8
 ;TENESTEYTING MV.;21.7;22.3;9.5;8.8
 ;HUSHALD OG JORDBRUK;17.8;18.2;20.2;18.1
 ;Primærnæringer;1.0;1.0;1.0;0.9
 ;Hushald;13.9;14.5;15.2;14.2
 ;Hytter og fritidshus;2.9;2.7;4.1;3.0
Iveland;;;;;
 ;ALLE FORBRUKARGRUPPER;17.1;18.8;20.3;19.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.3;4.1;4.6;5.5
 ;TENESTEYTING MV.;3.6;4.0;4.2;3.8
 ;HUSHALD OG JORDBRUK;10.1;10.7;11.5;10.6
 ;Primærnæringer;0.5;0.8;0.6;0.6
 ;Hushald;8.8;9.0;9.5;8.9
 ;Hytter og fritidshus;0.9;0.9;1.4;1.0
Evje og Hornnes;;;;;
 ;ALLE FORBRUKARGRUPPER;53.8;57.1;61.0;53.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.1;2.3;4.4;1.9
 ;TENESTEYTING MV.;22.4;23.4;23.0;20.7
 ;HUSHALD OG JORDBRUK;29.4;31.4;33.6;30.7
 ;Primærnæringer;1.1;2.4;1.1;1.6
 ;Hushald;24.2;25.1;26.3;24.4
 ;Hytter og fritidshus;4.0;3.9;6.1;4.8
Bygland;;;;;
 ;ALLE FORBRUKARGRUPPER;26.8;25.8;28.0;24.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.0;6.3;6.4;6.3
 ;TENESTEYTING MV.;8.5;8.0;8.9;7.2
 ;HUSHALD OG JORDBRUK;11.3;11.5;12.6;11.1
 ;Primærnæringer;0.4;0.5;0.5;0.4
 ;Hushald;9.3;9.5;9.8;9.0
 ;Hytter og fritidshus;1.6;1.4;2.4;1.7
Valle;;;;;
 ;ALLE FORBRUKARGRUPPER;23.6;24.4;25.8;24.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.4;1.4;1.6;1.4
 ;TENESTEYTING MV.;9.8;10.0;9.9;9.4
 ;HUSHALD OG JORDBRUK;12.4;13.0;14.3;13.2
 ;Primærnæringer;0.4;0.5;0.4;0.4
 ;Hushald;9.7;10.0;10.3;10.0
 ;Hytter og fritidshus;2.3;2.5;3.6;2.8
Bykle;;;;;
 ;ALLE FORBRUKARGRUPPER;52.3;54.8;63.2;53.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.9;2.7;4.8;4.3
 ;TENESTEYTING MV.;21.3;22.8;20.8;20.2
 ;HUSHALD OG JORDBRUK;29.1;29.4;37.5;29.3
 ;Primærnæringer;0.2;0.3;0.2;0.3
 ;Hushald;7.9;8.3;8.6;7.6
 ;Hytter og fritidshus;21.0;20.8;28.7;21.4
Kristiansand;;;;;
 ;ALLE FORBRUKARGRUPPER;2108.4;1996.7;2171.7;2070.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1120.1;979.8;1131.0;1092.7
 ;TENESTEYTING MV.;444.0;459.5;466.0;439.2
 ;HUSHALD OG JORDBRUK;544.3;557.5;574.7;538.5
 ;Primærnæringer;1.8;1.8;1.3;1.2
 ;Hushald;533.7;547.4;560.8;527.4
 ;Hytter og fritidshus;8.8;8.3;12.7;9.9
Mandal;;;;;
 ;ALLE FORBRUKARGRUPPER;185.6;190.2;196.0;183.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;24.9;23.5;21.8;22.0
 ;TENESTEYTING MV.;54.1;56.7;56.3;53.4
 ;HUSHALD OG JORDBRUK;106.6;110.0;117.9;107.9
 ;Primærnæringer;0.8;0.8;0.7;0.6
 ;Hushald;98.2;102.5;106.1;99.3
 ;Hytter og fritidshus;7.6;6.8;11.1;8.0
Farsund;;;;;
 ;ALLE FORBRUKARGRUPPER;1839.1;1783.4;2141.0;2269.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1724.9;1666.5;2018.8;2156.3
 ;TENESTEYTING MV.;36.5;36.0;36.7;34.4
 ;HUSHALD OG JORDBRUK;77.7;80.9;85.5;78.3
 ;Primærnæringer;2.2;2.2;2.3;1.7
 ;Hushald;68.0;71.4;71.6;67.7
 ;Hytter og fritidshus;7.6;7.3;11.6;8.9
Flekkefjord;;;;;
 ;ALLE FORBRUKARGRUPPER;137.3;140.6;145.0;132.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;16.1;14.9;21.2;18.4
 ;TENESTEYTING MV.;49.4;51.4;44.6;42.4
 ;HUSHALD OG JORDBRUK;71.8;74.4;79.2;71.4
 ;Primærnæringer;2.8;2.9;3.0;3.2
 ;Hushald;63.0;65.7;67.1;61.4
 ;Hytter og fritidshus;6.0;5.8;9.2;6.8
Vennesla;;;;;
 ;ALLE FORBRUKARGRUPPER;331.8;278.2;267.6;268.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;206.5;139.8;127.6;140.7
 ;TENESTEYTING MV.;36.7;48.2;41.5;37.9
 ;HUSHALD OG JORDBRUK;88.6;90.2;98.5;90.1
 ;Primærnæringer;1.0;1.0;1.0;0.8
 ;Hushald;87.1;88.7;96.6;88.3
 ;Hytter og fritidshus;0.6;0.6;1.0;0.9
Songdalen;;;;;
 ;ALLE FORBRUKARGRUPPER;67.0;69.6;71.7;67.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;8.5;7.9;9.1;8.4
 ;TENESTEYTING MV.;15.6;17.0;16.9;15.9
 ;HUSHALD OG JORDBRUK;43.0;44.6;45.8;42.8
 ;Primærnæringer;3.6;3.6;3.4;2.9
 ;Hushald;39.1;40.7;41.9;39.6
 ;Hytter og fritidshus;0.3;0.3;0.4;0.3
Søgne;;;;;
 ;ALLE FORBRUKARGRUPPER;126.5;131.8;138.1;127.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;15.0;15.3;16.3;15.4
 ;TENESTEYTING MV.;32.7;34.7;33.5;31.0
 ;HUSHALD OG JORDBRUK;78.9;81.7;88.3;80.6
 ;Primærnæringer;0.5;0.7;0.8;0.7
 ;Hushald;70.2;73.9;76.2;71.6
 ;Hytter og fritidshus;8.2;7.1;11.3;8.4
Marnardal;;;;;
 ;ALLE FORBRUKARGRUPPER;36.9;27.5;43.6;40.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.3;2.4;13.8;13.7
 ;TENESTEYTING MV.;17.2;6.8;6.5;6.1
 ;HUSHALD OG JORDBRUK;17.3;18.3;23.3;21.0
 ;Primærnæringer;1.4;1.2;5.4;4.5
 ;Hushald;15.2;16.3;16.6;15.3
 ;Hytter og fritidshus;0.8;0.7;1.4;1.1
Åseral;;;;;
 ;ALLE FORBRUKARGRUPPER;26.9;30.1;31.0;28.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.1;5.0;2.5;3.4
 ;TENESTEYTING MV.;6.0;7.3;6.3;5.9
 ;HUSHALD OG JORDBRUK;17.7;17.8;22.2;18.7
 ;Primærnæringer;0.1;0.1;0.1;0.1
 ;Hushald;7.0;7.2;7.1;6.5
 ;Hytter og fritidshus;10.6;10.5;15.0;12.1
Audnedal;;;;;
 ;ALLE FORBRUKARGRUPPER;21.4;21.8;22.8;21.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.3;2.2;1.9;1.5
 ;TENESTEYTING MV.;5.8;5.7;6.3;5.9
 ;HUSHALD OG JORDBRUK;13.3;13.9;14.7;13.6
 ;Primærnæringer;0.2;0.2;0.2;0.2
 ;Hushald;12.5;13.1;13.6;12.7
 ;Hytter og fritidshus;0.6;0.6;0.8;0.6
Lindesnes;;;;;
 ;ALLE FORBRUKARGRUPPER;123.6;131.0;142.9;140.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;63.2;67.4;74.7;79.0
 ;TENESTEYTING MV.;17.4;19.1;18.8;17.3
 ;HUSHALD OG JORDBRUK;43.0;44.6;49.4;44.0
 ;Primærnæringer;2.3;2.9;2.6;2.5
 ;Hushald;31.5;33.3;33.8;31.8
 ;Hytter og fritidshus;9.2;8.4;13.0;9.6
Lyngdal;;;;;
 ;ALLE FORBRUKARGRUPPER;129.3;127.1;136.5;128.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;30.0;23.2;22.9;23.9
 ;TENESTEYTING MV.;40.0;42.4;46.5;43.4
 ;HUSHALD OG JORDBRUK;59.4;61.5;67.1;60.7
 ;Primærnæringer;0.4;0.6;0.6;0.5
 ;Hushald;50.8;53.2;54.2;50.7
 ;Hytter og fritidshus;8.1;7.7;12.3;9.5
Hægebostad;;;;;
 ;ALLE FORBRUKARGRUPPER;30.7;25.3;26.0;26.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;10.3;4.7;4.5;5.7
 ;TENESTEYTING MV.;7.7;7.0;7.2;6.7
 ;HUSHALD OG JORDBRUK;12.8;13.6;14.4;13.5
 ;Primærnæringer;0.1;0.1;0.2;0.1
 ;Hushald;11.2;12.0;11.7;11.4
 ;Hytter og fritidshus;1.5;1.4;2.6;2.0
Kvinesdal;;;;;
 ;ALLE FORBRUKARGRUPPER;794.8;786.1;821.3;803.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;719.1;707.7;739.2;727.4
 ;TENESTEYTING MV.;28.0;28.6;28.1;27.0
 ;HUSHALD OG JORDBRUK;47.7;49.8;54.0;48.7
 ;Primærnæringer;0.5;0.6;0.7;0.6
 ;Hushald;41.5;43.5;44.5;41.5
 ;Hytter og fritidshus;5.7;5.7;8.8;6.6
Sirdal;;;;;
 ;ALLE FORBRUKARGRUPPER;62.8;65.4;73.1;75.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.2;4.0;2.5;14.8
 ;TENESTEYTING MV.;21.6;23.2;23.5;20.8
