"Omsetning per innbygger i detaljhandel (kr), etter region, tid  og "
" statistikkvariabel"

" ";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
" ";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning"
"Randaberg";44598;46157;51206;52793;53808;54571;56792
"Forsand";21893;23857;24416;23513;24067;24702;24532
"Strand";58884;65200;65838;67807;71179;66984;68432
"Hjelmeland";34770;38488;41345;41224;39243;40901;42598
"Suldal";44880;44541;46690;46840;47788;50500;56429
"Sauda";60119;59593;60669;62978;64811;66024;66116
"Finnøy";47261;51874;56504;56911;62732;72307;77709
"Rennesøy";27774;27192;29627;37483;39738;38354;35808
"Kvitsøy";21944;25336;28082;29182;26582;26036;26403
"Bokn";28798;28556;29600;21648;20901;19488;20545
"Tysvær";27308;28373;31993;30917;31348;32965;34610
"Karmøy";52832;53387;54969;57473;57145;57043;58916
"Utsira";30684;31290;36587;37722;38105;42478;43877
"Vindafjord";43304;45323;49680;52571;53807;51840;51306
"Bergen";84081;86018;85944;86750;88631;90067;92556
"Etne";56796;59261;59649;59262;62038;62346;66648
"Sveio";18442;18516;18877;19300;20521;21652;23116
"Bømlo";48112;48987;48960;52481;52960;53358;54704
"Stord";74805;79914;78035;80206;82498;83002;87601
"Fitjar";39540;40426;41678;46343;48163;47274;48722
"Tysnes";46885;47471;49456;52921;54111;61434;61710
"Kvinnherad";58267;57107;57517;58510;59767;61106;64704
"Jondal";70650;75881;76031;73711;76512;79782;79717
"Odda";74331;73489;74324;75571;79366;80417;82925
"Ullensvang";28485;29484;30549;31915;32457;33080;34982
"Eidfjord";54001;56001;54761;59495;63080;63614;66023
"Ulvik";30353;32696;30790;31522;32369;32341;33422
"Granvin";25715;26471;26375;26732;27936;28601;30299
"Voss";79059;80681;81838;83465;84922;84630;88236
"Kvam";60301;59965;62630;64215;66030;67173;71437
"Fusa";28742;30686;33610;33270;35360;37790;40166
"Samnanger";27598;29907;31911;33119;36928;37721;37895
"Os (Hord.)";64876;64528;63597;64923;65600;65521;67316
