Innvandrere, etter region, kjønn, landbakgrunn, tid  og  statistikkvariabel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ; ;1970;1980;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
 ; ; ;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere
 ; ;Europa unntatt Tyrkia;18;22;21;17;18;18;17;19;20;19;24;19;26;27;29;27;26;21;34;37;41;43;42;42;51;51;51;54;59;68;69;76;80
 ; ;Afrika;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;3;3;3;3;0;4;8;7;8
 ; ;Asia med Tyrkia;0;0;0;0;0;0;3;0;0;0;0;3;3;3;3;0;0;3;3;0;0;0;5;3;0;4;14;22;22;23;22;20;26
 ; ;Nord-Amerika;0;0;0;0;3;0;0;0;0;3;3;0;0;0;0;3;3;3;3;3;3;3;3;0;0;0;0;0;3;4;7;7;6
 ; ;Sør- og Mellom-Amerika;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;3;0;0;3;3;3;3;3;3
 ; ;Oseania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0
 ; ;Statsløse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Uoppgitt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aremark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Menn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;Europa unntatt Tyrkia;11;5;8;9;9;7;7;8;8;8;6;6;6;6;9;8;9;4;7;11;12;11;11;9;12;9;12;13;13;14;16;16;20
 ; ;Afrika;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
 ; ;Asia med Tyrkia;0;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;3;3;3;0;3;6;5;6;3;3;4
 ; ;Nord-Amerika;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
