221,Aurskog-Høland,Bjørkelangen,Akershus,15726,961660,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/NO_0221_Aurskog-H%C3%B8land.svg/45px-NO_0221_Aurskog-H%C3%B8land.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Aurskog-H%C3%B8land_komm.svg/46px-Aurskog-H%C3%B8land_komm.svg.png,Bokmål,Roger Evjen,Ap
226,Sørum,Sørumsand,Akershus,17089,206580,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/NO_0226_S%C3%B8rum.svg/45px-NO_0226_S%C3%B8rum.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/S%C3%B8rum_komm.svg/46px-S%C3%B8rum_komm.svg.png,Nøytral,Marianne Grimstad Hansen,Høyre
227,Fet,Fetsund,Akershus,11199,176360,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/NO_0227_Fet.svg/45px-NO_0227_Fet.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Fet_komm.svg/46px-Fet_komm.svg.png,Bokmål,John Harry Skoglund,Ap
228,Rælingen,Fjerdingby,Akershus,17185,71680,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/NO_0228_R%C3%A6lingen.svg/45px-NO_0228_R%C3%A6lingen.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/R%C3%A6lingen_komm.svg/46px-R%C3%A6lingen_komm.svg.png,Nøytral,Øivind Sand,Ap
229,Enebakk,Kirkebygda,Akershus,10760,232580,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/NO_0229_Enebakk.svg/45px-NO_0229_Enebakk.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Enebakk_komm.svg/46px-Enebakk_komm.svg.png,Bokmål,Tonje Anderson Olsen,Høyre
230,Lørenskog,Solheim,Akershus,35139,70530,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/NO_0230_L%C3%B8renskog.svg/45px-NO_0230_L%C3%B8renskog.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/L%C3%B8renskog_komm.svg/46px-L%C3%B8renskog_komm.svg.png,Nøytral,Åge Tovan,Ap
231,Skedsmo,Lillestrøm,Akershus,51725,77080,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/NO_0231_Skedsmo.svg/45px-NO_0231_Skedsmo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Skedsmo_komm.svg/46px-Skedsmo_komm.svg.png,Bokmål,Ole Jacob Flæten,Ap
233,Nittedal,Rotnes,Akershus,22706,186220,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/NO_0233_Nittedal.svg/45px-NO_0233_Nittedal.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Nittedal_komm.svg/46px-Nittedal_komm.svg.png,Bokmål,Hilde Thorkildsen,Ap
234,Gjerdrum,Ask,Akershus,6326,83190,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/NO_0234_Gjerdrum.svg/45px-NO_0234_Gjerdrum.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Gjerdrum_komm.svg/46px-Gjerdrum_komm.svg.png,Bokmål,Anders Østensen,Ap
235,Ullensaker,Jessheim,Akershus,33310,252460,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/NO_0235_Ullensaker.svg/45px-NO_0235_Ullensaker.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Ullensaker_komm.svg/46px-Ullensaker_komm.svg.png,Bokmål,Harald Espelund,Frp
